B200_Operator,B200_Raw_Kernel,B200_Stream,B200_Avg_us,B200_Overlap_us,B200_Overlap_With,MI355X_Module,MI355X_Kernel,MI355X_Avg_us,Notes
shared_quant(BF16→FP4),cvt_fp16_to_fp4<...>,23,2.5,2.6,router_GEMM(dual_stream):2.5μs | router_splitK_reduce(dual_stream):0.3μs,mxfp4_moe,"void aiter::grouped_topk_opt_sort_kernel<c10::BFloat16, float __vector(4), 8, true, true, false>(c10::BFloat16*, c10::BFloat16 const*, float*, int*, unsigned long, int, int, int, int, float)",4.08,
shared_GEMM(FP4),_ZN7cutlass13device_kernelIN10flashinfer4gemm57DeviceGemmFp4GemmSm100___nv_bfloa,23,10.0,11.9,MoE_input_quant(BF16→FP4)(dual_stream):3.8μs | router_splitK_reduce(dual_stream):3.4μs | tensor_copy(dual_stream):3.0μs | router_GEMM(dual_stream):1.2μs | TopK_select(dual_stream):0.8μs,,"void ck_tile::kentry<2, ck_tile::MoeSortingMultiPhaseKernel_P0_v2<ck_tile::MoeSortingProblemMp<int, float, int, 1, true, false, true> >, ck_tile::MoeSortingMultiPhaseKernel_P0_v2<ck_tile::MoeSortingProblemMp<int, float, int, 1, true, false, true> >::Kargs>(ck_tile::MoeSortingMultiPhaseKernel_P0_v2<ck_tile::MoeSortingProblemMp<int, float, int, 1, true, false, true> >::Kargs)",4.02,
MoE_input_quant(BF16→FP4),tensorrt_llm::kernels::quantize_with_block_size<...>,385,3.8,3.8,shared_GEMM(FP4)(dual_stream):3.8μs | router_splitK_reduce(pdl):1.4μs,,"void ck_tile::kentry<2, ck_tile::MoeSortingMultiPhaseKernel_P23<ck_tile::MoeSortingProblemMp<int, float, int, 1, true, false, true> >, ck_tile::MoeSortingMultiPhaseKernel_P23<ck_tile::MoeSortingProblemMp<int, float, int, 1, true, false, true> >::Kargs>(ck_tile::MoeSortingMultiPhaseKernel_P23<ck_tile::MoeSortingProblemMp<int, float, int, 1, true, false, true> >::Kargs)",4.64,
tensor_copy,at::native::unrolled_elementwise_kernel<...>,385,3.4,3.2,shared_GEMM(FP4)(dual_stream):3.0μs,,"void aiter::mxfp4_quant_moe_sort_kernel<std::bfloat16_t, opus::fp4_t, 256, 32>(opus::fp4_t*, unsigned char*, std::bfloat16_t const*, int const*, int const*, int, int, int, int, int, int, int, int, int)",4.65,
TopK_select,moe::dev::routing::routingDeepSeek::routingMainKernel<...>,385,4.5,3.8,expert_sort(pdl):2.4μs | SiLU×Mul(dual_stream):2.3μs | shared_quant(BF16→FP4)(dual_stream):1.5μs | shared_GEMM(FP4)(dual_stream):0.6μs,,"void ck::kernel_moe_mxgemm_2lds<ck::GridwiseMoeGemmMX_BPreshuffle<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor, ck::Tuple<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor, ck::tensor_layout::gemm::RowMajor>, ck::tensor_layout::gemm::RowMajor, ck::f4x2_pk_t, ck::e8m0_bexp_t, ck::f4x2_pk_t, ck::e8m0_bexp_t, float, float, ck::Tuple<float, float, float>, unsigned short, ck::tensor_operation::element_wise::PassThrough, ck::tensor_operation::element_wise::PassThrough, MulABScaleShuffled, (ck::tensor_operation::device::GemmSpecialization)0, 32, 256, 64, 128, 128, 16, 16, 16, 16, 4, 2, ck::Sequence<8, 32, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 1, ck::Sequence<8, 32, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 1, 2, 2, ck::Sequence<1, 32, 1, 8>, ck::Sequence<8, 1, 8>, (ck::BlockGemmPipelineScheduler)0, (ck::BlockGemmPipelineVersion)2, 1, false, true, false, int, ck::f4x2_pk_t, ck::f4x2_pk_t>, true, (ck::InMemoryDataOperationEnum)0, 2, (ck::TailNumber)1>(ck::GridwiseMoeGemmMX_BPreshuffle<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor, ck::Tuple<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor, ck::tensor_layout::gemm::RowMajor>, ck::tensor_layout::gemm::RowMajor, ck::f4x2_pk_t, ck::e8m0_bexp_t, ck::f4x2_pk_t, ck::e8m0_bexp_t, float, float, ck::Tuple<float, float, float>, unsigned short, ck::tensor_operation::element_wise::PassThrough, ck::tensor_operation::element_wise::PassThrough, MulABScaleShuffled, (ck::tensor_operation::device::GemmSpecialization)0, 32, 256, 64, 128, 128, 16, 16, 16, 16, 4, 2, ck::Sequence<8, 32, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 1, ck::Sequence<8, 32, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 1, 2, 2, ck::Sequence<1, 32, 1, 8>, ck::Sequence<8, 1, 8>, (ck::BlockGemmPipelineScheduler)0, (ck::BlockGemmPipelineVersion)2, 1, false, true, false, int, ck::f4x2_pk_t, ck::f4x2_pk_t>::Argument)",125.97,
SiLU×Mul,flashinfer::activation::act_and_mul_kernel<...>,23,2.9,4.0,TopK_select(dual_stream):2.3μs | expert_sort(dual_stream):2.0μs,,"void aiter::mxfp4_quant_moe_sort_kernel<std::bfloat16_t, opus::fp4_t, 256, 8>(opus::fp4_t*, unsigned char*, std::bfloat16_t const*, int const*, int const*, int, int, int, int, int, int, int, int, int)",4.80,
expert_sort,moe::dev::routing::routingDeepSeek::routingIndicesClusterKernel<...>,385,5.2,4.7,TopK_select(pdl):2.4μs | SiLU×Mul(dual_stream):2.0μs | shared_quant(BF16→FP4)(dual_stream):1.8μs | shared_GEMM(FP4)(dual_stream):1.7μs | gate_up_GEMM(+SwiGLU)(pdl):0.2μs,,"void ck::kernel_moe_mxgemm_2lds<ck::GridwiseMoeGemmMX_BPreshuffle<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor, ck::Tuple<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor, ck::tensor_layout::gemm::RowMajor>, ck::tensor_layout::gemm::RowMajor, ck::f4x2_pk_t, ck::e8m0_bexp_t, ck::f4x2_pk_t, ck::e8m0_bexp_t, float, float, ck::Tuple<float, float, float>, unsigned short, ck::tensor_operation::element_wise::PassThrough, ck::tensor_operation::element_wise::PassThrough, MulABScaleExpertWeightShuffled, (ck::tensor_operation::device::GemmSpecialization)0, 32, 256, 64, 128, 128, 16, 16, 16, 16, 4, 2, ck::Sequence<8, 32, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 1, ck::Sequence<8, 32, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 1, 2, 2, ck::Sequence<1, 8, 1, 32>, ck::Sequence<2, 1, 2>, (ck::BlockGemmPipelineScheduler)0, (ck::BlockGemmPipelineVersion)2, 0, false, false, true, int, ck::f4x2_pk_t, ck::f4x2_pk_t>, true, (ck::InMemoryDataOperationEnum)1, 2, (ck::TailNumber)1>(ck::GridwiseMoeGemmMX_BPreshuffle<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor, ck::Tuple<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor, ck::tensor_layout::gemm::RowMajor>, ck::tensor_layout::gemm::RowMajor, ck::f4x2_pk_t, ck::e8m0_bexp_t, ck::f4x2_pk_t, ck::e8m0_bexp_t, float, float, ck::Tuple<float, float, float>, unsigned short, ck::tensor_operation::element_wise::PassThrough, ck::tensor_operation::element_wise::PassThrough, MulABScaleExpertWeightShuffled, (ck::tensor_operation::device::GemmSpecialization)0, 32, 256, 64, 128, 128, 16, 16, 16, 16, 4, 2, ck::Sequence<8, 32, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 1, ck::Sequence<8, 32, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 1, 2, 2, ck::Sequence<1, 8, 1, 32>, ck::Sequence<2, 1, 2>, (ck::BlockGemmPipelineScheduler)0, (ck::BlockGemmPipelineVersion)2, 0, false, false, true, int, ck::f4x2_pk_t, ck::f4x2_pk_t>::Argument)",63.04,
shared_quant(BF16→FP4),cvt_fp16_to_fp4<...>,23,1.9,2.7,expert_sort(dual_stream):1.8μs | TopK_select(dual_stream):1.5μs,,,,B200 only
shared_GEMM(FP4),_ZN7cutlass13device_kernelIN10flashinfer4gemm57DeviceGemmFp4GemmSm100___nv_bfloa,23,5.2,5.4,gate_up_GEMM(+SwiGLU)(dual_stream):3.0μs | expert_sort(dual_stream):1.7μs,,,,B200 only
gate_up_GEMM(+SwiGLU),bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x16x512_s5_et128x16_m128x16x64_cga1x1x,385,102.9,3.1,shared_GEMM(FP4)(dual_stream):3.0μs | down_GEMM(pdl):0.5μs | expert_sort(pdl):0.2μs,,,,B200 only
